i,U_i=X_i/M,X_i
352,0.645057,645057
353,0.234945,234945
354,0.002049,2049
355,0.522881,522881
356,0.761537,761537
357,0.246785,246785
358,0.736769,736769
359,0.520641,520641
360,0.703617,703617
361,0.463425,463425
362,0.909889,909889
363,0.425601,425601
364,0.103297,103297
365,0.940865,940865
366,0.969409,969409
367,0.821761,821761
368,0.632577,632577
369,0.055105,55105
370,0.923329,923329
371,0.773121,773121
372,0.803457,803457
373,0.902145,902145
374,0.539649,539649
375,0.423681,423681
376,0.767937,767937
377,0.697985,697985
378,0.546369,546369
379,0.597441,597441
380,0.118017,118017
381,0.178625,178625
382,0.831489,831489
383,0.398401,398401
384,0.685697,685697
385,0.000065,65
386,0.643009,643009
387,0.810561,810561
388,0.342977,342977
389,0.138305,138305
390,0.788929,788929
391,0.297921,297921
392,0.801857,801857
393,0.289345,289345
394,0.837249,837249
395,0.404481,404481
396,0.414337,414337
397,0.269185,269185
398,0.315969,315969
399,0.354241,354241
400,0.972417,972417
401,0.413825,413825
402,0.913089,913089
403,0.651201,651201
404,0.508097,508097
405,0.979265,979265
406,0.676609,676609
407,0.679361,679361
408,0.093377,93377
409,0.541505,541505
410,0.214529,214529
411,0.302721,302721
412,0.640257,640257
413,0.396545,396545
414,0.894849,894849
415,0.465281,465281
416,0.700737,700737
417,0.960385,960385
418,0.045569,45569
419,0.791041,791041
420,0.266817,266817
421,0.169025,169025
422,0.154689,154689
423,0.184001,184001
424,0.570497,570497
425,0.878465,878465
426,0.070209,70209
427,0.428161,428161
428,0.883777,883777
429,0.264705,264705
430,0.200129,200129
431,0.787521,787521
432,0.318657,318657
433,0.223745,223745
434,0.712449,712449
435,0.606081,606081
436,0.627137,627137
437,0.771585,771585
438,0.735169,735169
439,0.907841,907841
440,0.001217,1217
441,0.444225,444225
442,0.556289,556289
443,0.996801,996801
444,0.872897,872897
445,0.697665,697665
446,0.823809,823809
447,0.056961,56961
448,0.714177,714177
449,0.307905,307905
450,0.745729,745729
451,0.752321,752321
452,0.837057,837057
453,0.770945,770945
454,0.290049,290049
455,0.826881,826881
456,0.193537,193537
457,0.702785,702785
458,0.384769,384769
459,0.704641,704641
460,0.175617,175617
461,0.239425,239425
462,0.117889,117889
463,0.089601,89601
464,0.415297,415297
465,0.436865,436865
466,0.937409,937409
467,0.565761,565761
468,0.584577,584577
469,0.671105,671105
470,0.851329,851329
471,0.197121,197121
472,0.195457,195457
473,0.038145,38145
474,0.627649,627649
475,0.127681,127681
476,0.399937,399937
477,0.753985,753985
478,0.994369,994369
479,0.181441,181441
480,0.790017,790017
481,0.554625,554625
482,0.839489,839489
483,0.462401,462401
484,0.197697,197697
485,0.096065,96065
486,0.411009,411009
487,0.954561,954561
488,0.494977,494977
489,0.354305,354305
490,0.516929,516929
491,0.121921,121921
492,0.393857,393857
493,0.025345,25345
494,0.725249,725249
495,0.508481,508481
496,0.246337,246337
497,0.925185,925185
498,0.563969,563969
499,0.338241,338241
500,0.844417,844417
501,0.389825,389825
502,0.721089,721089
503,0.115201,115201
504,0.220097,220097
505,0.675265,675265
506,0.244609,244609
507,0.223361,223361
508,0.445377,445377
509,0.357505,357505
510,0.742529,742529
511,0.526721,526721
512,0.432257,432257
513,0.732545,732545
514,0.582849,582849
515,0.969281,969281
516,0.732737,732737
517,0.216385,216385
518,0.093569,93569
519,0.175041,175041
520,0.338817,338817
521,0.745025,745025
522,0.762689,762689
523,0.048001,48001
524,0.482497,482497
525,0.174465,174465
526,0.438209,438209
527,0.372161,372161
528,0.435777,435777
529,0.680705,680705
530,0.528129,528129
531,0.411521,411521
532,0.310657,310657
533,0.159745,159745
534,0.200449,200449
535,0.510081,510081
536,0.859137,859137
537,0.627585,627585
538,0.583169,583169
539,0.691841,691841
540,0.273217,273217
541,0.620225,620225
542,0.964289,964289
543,0.260801,260801
544,0.984897,984897
545,0.593665,593665
546,0.991809,991809
547,0.400961,400961
548,0.466177,466177
549,0.323905,323905
550,0.873729,873729
551,0.776321,776321
552,0.029057,29057
553,0.306945,306945
554,0.578049,578049
555,0.130881,130881
556,0.625537,625537
557,0.158785,158785
558,0.032769,32769
559,0.888641,888641
560,0.647617,647617
561,0.015425,15425
562,0.325889,325889
563,0.753601,753601
564,0.727297,727297
565,0.932865,932865
566,0.905409,905409
567,0.309761,309761
568,0.536577,536577
569,0.287105,287105
570,0.779329,779329
571,0.621121,621121
572,0.587457,587457
573,0.174145,174145
574,0.715649,715649
575,0.831681,831681
576,0.031937,31937
577,0.809985,809985
578,0.442369,442369
579,0.765441,765441
580,0.462017,462017
581,0.930625,930625
582,0.847489,847489
583,0.526401,526401
584,0.709697,709697
585,0.192065,192065
586,0.179009,179009
587,0.098561,98561
588,0.646977,646977
589,0.570305,570305
590,0.244929,244929
591,0.945921,945921
592,0.985857,985857
593,0.761345,761345
594,0.613249,613249
595,0.612481,612481
596,0.078337,78337
597,0.581185,581185
598,0.811969,811969
599,0.322241,322241
600,0.716417,716417
601,0.365825,365825
602,0.529089,529089
603,0.579201,579201
604,0.932097,932097
605,0.371265,371265
606,0.812609,812609
607,0.767361,767361
608,0.797377,797377
609,0.173505,173505
610,0.270529,270529
611,0.750721,750721
612,0.224257,224257
613,0.068545,68545
614,0.270849,270849
615,0.473281,473281
616,0.764737,764737
617,0.472385,472385
618,0.141569,141569
619,0.559041,559041
620,0.410817,410817
621,0.321025,321025
622,0.370689,370689
623,0.912001,912001
624,0.394497,394497
625,0.470465,470465
626,0.806209,806209
627,0.316161,316161
628,0.987777,987777
629,0.096705,96705
630,0.856129,856129
631,0.035521,35521
632,0.302657,302657
633,0.095745,95745
634,0.688449,688449
635,0.414081,414081
636,0.091137,91137
637,0.483585,483585
638,0.431169,431169
639,0.475841,475841
640,0.545217,545217
641,0.796225,796225
642,0.372289,372289
643,0.524801,524801
644,0.096897,96897
645,0.489665,489665
646,0.159809,159809
647,0.744961,744961
648,0.218177,218177
649,0.339905,339905
650,0.001729,1729
651,0.800321,800321
652,0.221057,221057
653,0.842945,842945
654,0.866049,866049
655,0.434881,434881
656,0.057537,57537
657,0.614785,614785
658,0.680769,680769
659,0.072641,72641
660,0.119617,119617
661,0.791425,791425
662,0.533889,533889
663,0.417601,417601
664,0.039297,39297
665,0.428865,428865
666,0.873409,873409
667,0.053761,53761
668,0.488577,488577
669,0.903105,903105
670,0.707329,707329
671,0.045121,45121
672,0.979457,979457
673,0.310145,310145
674,0.803649,803649
675,0.535681,535681
676,0.663937,663937
677,0.865985,865985
678,0.890369,890369
679,0.349441,349441
680,0.134017,134017
681,0.306625,306625
682,0.855489,855489
683,0.590401,590401
684,0.221697,221697
685,0.288065,288065
686,0.947009,947009
687,0.242561,242561
688,0.798977,798977
689,0.786305,786305
690,0.972929,972929
691,0.769921,769921
692,0.577857,577857
693,0.497345,497345
694,0.501249,501249
695,0.716481,716481
696,0.910337,910337
697,0.237185,237185
698,0.059969,59969
699,0.306241,306241
700,0.588417,588417
701,0.341825,341825
702,0.337089,337089
703,0.043201,43201
704,0.644097,644097
705,0.067265,67265
706,0.380609,380609
707,0.311361,311361
708,0.149377,149377
709,0.989505,989505
710,0.798529,798529
711,0.974721,974721
712,0.016257,16257
713,0.404545,404545
714,0.958849,958849
715,0.977281,977281
716,0.796737,796737
717,0.728385,728385
718,0.189569,189569
719,0.943041,943041
720,0.482817,482817
721,0.897025,897025
722,0.978689,978689
723,0.776001,776001
724,0.306497,306497
725,0.766465,766465
726,0.174209,174209
727,0.260161,260161
728,0.539777,539777
729,0.512705,512705
730,0.184129,184129
731,0.659521,659521
732,0.294657,294657
733,0.031745,31745
734,0.176449,176449
735,0.318081,318081
736,0.323137,323137
737,0.339585,339585
738,0.279169,279169
739,0.259841,259841
740,0.817217,817217
741,0.972225,972225
742,0.780289,780289
743,0.788801,788801
744,0.208897,208897
745,0.385665,385665
746,0.327809,327809
747,0.088961,88961
748,0.970177,970177
749,0.355905,355905
750,0.129729,129729
751,0.824321,824321
752,0.413057,413057
753,0.378945,378945
754,0.154049,154049
755,0.738881,738881
756,0.489537,489537
757,0.070785,70785
758,0.328769,328769
759,0.256641,256641
760,0.591617,591617
761,0.567425,567425
762,0.741889,741889
763,0.081601,81601
764,0.351297,351297
765,0.924865,924865
766,0.841409,841409
767,0.797761,797761
768,0.440577,440577
769,0.519105,519105
770,0.635329,635329
771,0.469121,469121
772,0.371457,371457
773,0.446145,446145
774,0.891649,891649
775,0.239681,239681
776,0.295937,295937
777,0.921985,921985
778,0.338369,338369
779,0.933441,933441
780,0.806017,806017
781,0.682625,682625
782,0.863489,863489
783,0.654401,654401
784,0.733697,733697
785,0.384065,384065
786,0.715009,715009
787,0.386561,386561
788,0.950977,950977
789,0.002305,2305
790,0.700929,700929
791,0.593921,593921
792,0.169857,169857
793,0.233345,233345
794,0.389249,389249
795,0.820481,820481
796,0.742337,742337
797,0.893185,893185
798,0.307969,307969
799,0.290241,290241
800,0.460417,460417
801,0.317825,317825
802,0.145089,145089
803,0.507201,507201
804,0.356097,356097
805,0.763265,763265
806,0.948609,948609
807,0.855361,855361
808,0.501377,501377
809,0.805505,805505
810,0.326529,326529
811,0.198721,198721
812,0.808257,808257
813,0.740545,740545
814,0.646849,646849
815,0.481281,481281
816,0.828737,828737
817,0.984385,984385
818,0.237569,237569
819,0.327041,327041
820,0.554817,554817
821,0.473025,473025
822,0.586689,586689
823,0.640001,640001
824,0.218497,218497
825,0.062465,62465
826,0.542209,542209
827,0.204161,204161
828,0.091777,91777
829,0.928705,928705
830,0.512129,512129
831,0.283521,283521
832,0.286657,286657
833,0.967745,967745
834,0.664449,664449
835,0.222081,222081
836,0.555137,555137
837,0.195585,195585
838,0.127169,127169
839,0.043841,43841
840,0.089217,89217
841,0.148225,148225
842,0.188289,188289
843,0.052801,52801
844,0.320897,320897
845,0.281665,281665
846,0.495809,495809
847,0.432961,432961
848,0.722177,722177
849,0.371905,371905
850,0.257729,257729
851,0.848321,848321
852,0.605057,605057
853,0.914945,914945
854,0.442049,442049
855,0.042881,42881
856,0.921537,921537
857,0.526785,526785
858,0.976769,976769
859,0.440641,440641
860,0.063617,63617
861,0.343425,343425
862,0.949889,949889
863,0.745601,745601
864,0.663297,663297
865,0.420865,420865
866,0.809409,809409
867,0.541761,541761
868,0.392577,392577
869,0.135105,135105
870,0.563329,563329
871,0.893121,893121
872,0.763457,763457
873,0.582145,582145
874,0.979649,979649
875,0.943681,943681
876,0.927937,927937
877,0.977985,977985
878,0.786369,786369
879,0.517441,517441
880,0.478017,478017
881,0.058625,58625
882,0.871489,871489
883,0.718401,718401
884,0.245697,245697
885,0.480065,480065
886,0.483009,483009
887,0.530561,530561
888,0.102977,102977
889,0.218305,218305
890,0.428929,428929
891,0.417921,417921
892,0.761857,761857
893,0.969345,969345
894,0.277249,277249
895,0.924481,924481
896,0.574337,574337
897,0.549185,549185
898,0.555969,555969
899,0.274241,274241
900,0.332417,332417
901,0.293825,293825
902,0.953089,953089
903,0.971201,971201
904,0.068097,68097
905,0.459265,459265
906,0.516609,516609
907,0.399361,399361
908,0.853377,853377
909,0.621505,621505
910,0.854529,854529
911,0.422721,422721
912,0.600257,600257
913,0.076545,76545
914,0.334849,334849
915,0.985281,985281
916,0.860737,860737
917,0.240385,240385
918,0.285569,285569
919,0.711041,711041
920,0.626817,626817
921,0.049025,49025
922,0.194689,194689
923,0.504001,504001
924,0.130497,130497
925,0.358465,358465
926,0.910209,910209
927,0.148161,148161
928,0.643777,643777
929,0.344705,344705
930,0.840129,840129
931,0.907521,907521
932,0.278657,278657
933,0.903745,903745
934,0.152449,152449
935,0.126081,126081
936,0.787137,787137
937,0.051585,51585
938,0.975169,975169
939,0.827841,827841
940,0.361217,361217
941,0.324225,324225
942,0.596289,596289
943,0.316801,316801
944,0.432897,432897
945,0.177665,177665
946,0.663809,663809
947,0.776961,776961
948,0.474177,474177
949,0.387905,387905
950,0.385729,385729
951,0.872321,872321
952,0.797057,797057
953,0.450945,450945
954,0.730049,730049
955,0.346881,346881
956,0.353537,353537
957,0.982785,982785
958,0.624769,624769
959,0.624641,624641
960,0.535617,535617
961,0.119425,119425
962,0.157889,157889
963,0.409601,409601
964,0.975297,975297
965,0.916865,916865
966,0.777409,777409
967,0.285761,285761
968,0.344577,344577
969,0.751105,751105
970,0.491329,491329
971,0.317121,317121
972,0.155457,155457
973,0.718145,718145
974,0.067649,67649
975,0.647681,647681
976,0.559937,559937
977,0.033985,33985
978,0.234369,234369
979,0.101441,101441
980,0.150017,150017
981,0.434625,434625
982,0.879489,879489
983,0.782401,782401
984,0.757697,757697
985,0.576065,576065
986,0.251009,251009
987,0.674561,674561
988,0.254977,254977
989,0.434305,434305
990,0.156929,156929
991,0.241921,241921
992,0.353857,353857
993,0.705345,705345
994,0.165249,165249
995,0.028481,28481
996,0.406337,406337
997,0.205185,205185
998,0.803969,803969
999,0.258241,258241
1000,0.204417,204417
