i,U_i=X_i/M,X_i
802,0.555556,5
803,0.666667,6
804,0.111111,1
805,0.888889,8
806,0,0
807,0.444444,4
808,0.222222,2
809,0.333333,3
810,0.777778,7
811,0.555556,5
812,0.666667,6
813,0.111111,1
814,0.888889,8
815,0,0
816,0.444444,4
817,0.222222,2
818,0.333333,3
819,0.777778,7
820,0.555556,5
821,0.666667,6
822,0.111111,1
823,0.888889,8
824,0,0
825,0.444444,4
826,0.222222,2
827,0.333333,3
828,0.777778,7
829,0.555556,5
830,0.666667,6
831,0.111111,1
832,0.888889,8
833,0,0
834,0.444444,4
835,0.222222,2
836,0.333333,3
837,0.777778,7
838,0.555556,5
839,0.666667,6
840,0.111111,1
841,0.888889,8
842,0,0
843,0.444444,4
844,0.222222,2
845,0.333333,3
846,0.777778,7
847,0.555556,5
848,0.666667,6
849,0.111111,1
850,0.888889,8
851,0,0
852,0.444444,4
853,0.222222,2
854,0.333333,3
855,0.777778,7
856,0.555556,5
857,0.666667,6
858,0.111111,1
859,0.888889,8
860,0,0
861,0.444444,4
862,0.222222,2
863,0.333333,3
864,0.777778,7
865,0.555556,5
866,0.666667,6
867,0.111111,1
868,0.888889,8
869,0,0
870,0.444444,4
871,0.222222,2
872,0.333333,3
873,0.777778,7
874,0.555556,5
875,0.666667,6
876,0.111111,1
877,0.888889,8
878,0,0
879,0.444444,4
880,0.222222,2
881,0.333333,3
882,0.777778,7
883,0.555556,5
884,0.666667,6
885,0.111111,1
886,0.888889,8
887,0,0
888,0.444444,4
889,0.222222,2
890,0.333333,3
891,0.777778,7
892,0.555556,5
893,0.666667,6
894,0.111111,1
895,0.888889,8
896,0,0
897,0.444444,4
898,0.222222,2
899,0.333333,3
900,0.777778,7
901,0.555556,5
902,0.666667,6
903,0.111111,1
904,0.888889,8
905,0,0
906,0.444444,4
907,0.222222,2
908,0.333333,3
909,0.777778,7
910,0.555556,5
911,0.666667,6
912,0.111111,1
913,0.888889,8
914,0,0
915,0.444444,4
916,0.222222,2
917,0.333333,3
918,0.777778,7
919,0.555556,5
920,0.666667,6
921,0.111111,1
922,0.888889,8
923,0,0
924,0.444444,4
925,0.222222,2
926,0.333333,3
927,0.777778,7
928,0.555556,5
929,0.666667,6
930,0.111111,1
931,0.888889,8
932,0,0
933,0.444444,4
934,0.222222,2
935,0.333333,3
936,0.777778,7
937,0.555556,5
938,0.666667,6
939,0.111111,1
940,0.888889,8
941,0,0
942,0.444444,4
943,0.222222,2
944,0.333333,3
945,0.777778,7
946,0.555556,5
947,0.666667,6
948,0.111111,1
949,0.888889,8
950,0,0
951,0.444444,4
952,0.222222,2
953,0.333333,3
954,0.777778,7
955,0.555556,5
956,0.666667,6
957,0.111111,1
958,0.888889,8
959,0,0
960,0.444444,4
961,0.222222,2
962,0.333333,3
963,0.777778,7
964,0.555556,5
965,0.666667,6
966,0.111111,1
967,0.888889,8
968,0,0
969,0.444444,4
970,0.222222,2
971,0.333333,3
972,0.777778,7
973,0.555556,5
974,0.666667,6
975,0.111111,1
976,0.888889,8
977,0,0
978,0.444444,4
979,0.222222,2
980,0.333333,3
981,0.777778,7
982,0.555556,5
983,0.666667,6
984,0.111111,1
985,0.888889,8
986,0,0
987,0.444444,4
988,0.222222,2
989,0.333333,3
990,0.777778,7
991,0.555556,5
992,0.666667,6
993,0.111111,1
994,0.888889,8
995,0,0
996,0.444444,4
997,0.222222,2
998,0.333333,3
999,0.777778,7
1000,0.555556,5
